Code	max_depth	test_score
244920	11	0.9632239768883789
036570	3	0.9912590736426546
138250	2	0.9732634983144568
380440	1	-0.131429086409117
005945	2	0.9828821757562944
005940	2	0.9733011826347836
085310	1	0.9742766030724171
009810	1	0.9606786816028695
900140	3	0.9734007014630986
229640	2	0.9680998258885808
108675	4	0.9769284604619163
108670	2	0.9819135935729266
38380K	5	0.9422281782272011
383800	2	0.09057959910349223
037560	2	0.9877025202536084
097520	3	0.9907242937603115
014440	2	0.970070255950159
111770	2	0.967345873443339
009970	3	0.989014644040096
003520	2	0.9508543169211188
000670	2	0.9856003210355769
006740	1	0.9610034202936557
012280	1	0.9625179857921284
012160	1	0.9040964795684506
015360	1	0.9730141724397656
007310	2	0.9900277213674732
002630	2	0.9644280182756864
271560	2	0.9654990954956421
001800	2	0.980763337360579
037270	3	0.9924325626475797
011690	3	0.9953795634317615
316140	2	0.9894645964584255
033660	1	0.9678095304011195
118000	2	0.9377875159344454
010050	4	0.9801284965496163
006980	1	0.9216262286091961
017370	2	0.9907675223945067
105840	2	0.958339713436798
010400	2	0.9694214222705904
049800	2	0.9774316986812186
016880	2	0.986885191657746
095720	2	0.9634129090232851
005820	1	0.9800611782020332
010600	4	0.9857285064042838
008600	4	0.9753622039781568
014830	2	0.9682561912490051
047400	1	0.9729541263871814
000910	9	0.9747420247053555
011330	1	0.9696317552470046
077500	3	0.9856190791234879
002920	2	0.9704178739025495
000700	2	0.9724201557697596
003475	1	0.986071889944226
003470	2	0.9798103565919317
072130	1	0.914098196068138
000225	5	0.978029745065095
000227	2	0.9758439290954731
000220	2	0.9614864133473229
001200	2	0.9879035543768553
000105	1	0.9886062660649353
000100	2	0.9847394067735945
003465	1	0.9149339840551953
003460	1	0.9693280835935734
008730	17	0.9824298148504322
008250	3	0.9712376114255025
025820	3	0.9856013958115021
214320	1	0.9646386641376844
088260	2	0.9854877396228936
139480	2	0.9859469377241626
007660	1	0.966087114862163
005950	3	0.9631388562126569
015020	1	0.9736216340807551
093230	1	0.9670703830236322
074610	2	0.9633180472755183
102460	3	0.960507335658352
084680	2	0.9704468724238294
350520	1	0.9710700226514135
334890	1	0.9821384615002212
000760	1	0.9763489943997368
014990	8	0.9634996022770047
101140	2	0.96561094024842
006490	10	0.9910445451817165
023800	3	0.986816397638013
034590	2	0.9888770825602359
129260	2	0.9798144315348652
023810	3	0.9787377379699044
249420	1	0.9640417941328885
000230	2	0.98569425271951
013360	3	0.9673310171043935
003120	4	0.9577923046286088
003200	2	0.990165205256105
007110	2	0.9297741440447689
007575	8	0.9783142473093533
007570	3	0.9829042585685823
008500	1	0.9723420349363315
081000	5	0.9839665893543971
020760	2	0.9568270635492512
020150	2	0.9839620168325975
103590	3	0.9640485123621556
015860	2	0.9635628770512285
226320	15	0.9809681319296558
317400	1	0.9905133576816453
033240	3	0.986245202397182
000950	6	0.9811161493687022
348950	1	0.9252914433116992
194370	2	0.987709494993763
025620	4	0.9950137835204413
036420	2	0.9806176963174993
030000	2	0.9773203876966561
271980	1	0.9439234216605646
001560	2	0.9693090733777231
002620	4	0.9518745576780683
006220	3	0.9900450636073773
089590	2	0.9881914015956057
004910	10	0.9757753715368379
004700	1	0.9756930243891626
001550	1	0.9546739255842829
000480	2	0.9099461992854304
120030	1	0.9497673055761471
018470	2	0.981309311626014
002600	1	0.9773103366581152
063160	2	0.9692611133734842
185750	1	0.9854411143267083
001630	1	0.972866018022226
070960	1	0.9175049781877603
023450	3	0.990718364105873
002380	3	0.9872070451663887
044380	1	0.9633883149612446
024110	2	0.9944286943422086
013890	2	0.956677611004522
001250	2	0.9841926091606356
007070	1	0.933728727513491
013870	5	0.975189976764884
071320	2	0.9931381559634267
010580	1	0.9937976020357396
035000	4	0.9889457347586229
088790	2	0.978750562757046
